Length,audio_name,Transcript,negative_count,positive_count,negative_positions,positive_positions,Senti,Negative_Frame_Sentiments,Positive_Frame_Sentiments
21.04,1.wav,پلیز ایک مشہور برینڈ ہے اور لوگوں کو بہت پسند ہے ان کے فلیور کی ٹیکسچر کافی مشہور ہے مشہور ہیں لیکن میرے حساب سے کچھ اور ازمانے کی ضرورت ہے پلیز مجھے بہت پسند ہے اور مجھے لیز اچھے لگتے ہیں,1,7,[11],"[2, 5, 9, 9, 10, 18, 20]",0,[0],"[0, 0, 0, 0, 0, 0]"
23.07,2.wav,پلیز میرا پسندیدہ اسنیک ہے اور ہر بائیک مجھے خوش رکھتی ہے اور ہر بات مجھے ان کے سارے فلیور میرے لئے اچھے ہیں میں لیز کی تعریفوں میں کہاں کام ہو سکتے ہیں,2,3,"[7, 21]","[2, 16, 19]",1,"[0, 0]","[0, 0, 0]"
28.16,3.wav,میرا نام اسان عبداللہ اور اج مجھ سے رزق لیز کا ریویو دیا گیا ہے پلیز ایک اچھا فرینڈ ہے لیکن یہ اسرائیلی گروپ برانڈ ہے اور اج کل اپ کو پتہ ہے اسرائیل پیلسٹائن وار ہو رہی ہے جس میں لیز فنانشل ازرائیل کو سپورٹ کر رہا ہے اس لئے میں اس لیز پروڈکٹ کا بائیکاٹ کر رہا ہوں ادر وائز ان کا ذائقہ ٹھیک ہے لیکن ان کا جو کاز ہے وہ غلط ہے اس لیے میں نے اس کو ریکارڈ کرتا ہوں,4,3,"[7, 19, 23, 25]","[6, 15, 22]",2,"[0, 0, 9, 0]","[0, 0, 1]"
26.74,4.wav,السلام علیکم میرا نام اسان عبداللہ ہے اور اج اسے لیز کا ریویو لیا گیا لیز ایک اچھا ملٹی نیشنل برانڈ ہے جو المسال اف دا ورلڈ میں اپریٹ کر رہا ہے پروڈکٹس ہر جگہ اویلیبل ہوتی ہیں ان کی اچھی ہوتی ہے اور اگر اپ کہیں تو ذائقے میں ان کو 10 میں سے 8 ریٹ کروں گا اور یہ میرا ریویو ہے,0,3,[],"[8, 15, 17]",1,[],"[0, 0, 1]"
29.31,5.wav,السلام علیکم میرا نام ارشد ہے ماجد ہے اور اج میں اپ کو لیس کے کچھ برے باتیں بتاؤں گا لیز فیٹو لے کمپنی کی ایک ایجاد ہے اور یہ جو ہے نا یہ اسرائیل کی ایک کمپنی ہے تو انہوں نے اسرائیل کو سپورٹ کیا ہے ابھی جو بور ہو رہی ہے اسرائیل پہلے اس ٹائم کی کافی عرصے سے چل رہی ہے انہوں نے اسرائیل کو سپورٹ کیا ہے سو اس لیے میں جو ہوں ڈس لائک کروں گا لیز کو,3,3,"[6, 18, 28]","[16, 21, 24]",2,"[0, 0, 0]","[0, 0, 0]"
21.5,6.wav,السلام علیکم میرا نام مرتضی ماجد ہے اور اج میں اپ کو لیز ٹپس کی ایک تھوڑی بہت بتانا چاہوں گا پلیز بہت اچھے فرینڈ ہیں اور ان کے بہت مزے کی چپس ہوتے ہیں اور ان کی پیکجنگ بھی بہت اچھی ہوتی ہے اور یہ کافی مزے کی,0,3,[],"[11, 18, 21]",1,[],"[0, 0, 0]"
15.15,7.wav,السلام علیکم میرا نام مرتضی ہے اور میں اج اپ کو تھوڑا لیز کے بارے میں کچھ بتانا چاہوں گا پلیز ایک بہت اچھا فوڈ برانڈ ہے یہ پیکجنگ ان کی بہت اچھی ہوتی ہے اور بہت اچھے اچھے ٹپس بناتے ہیں,0,4,[],"[9, 12, 14, 14]",1,[],"[0, 1, 1]"
44.36,8.wav,اج میں اپ کو بتاؤں گا لیس کے بارے میں ڈس ایڈوانٹیج اس کی نقصانات کیا ہیں بچوں کے اوپر بہت سے برے نصاف پڑھتے ہیں اس کے اوپر اس کے کھانے سے بچوں کے لئے دل کی بیماری بنتی ہے اور موسٹلی موسٹلی کینسل ڈیزیز ہوتا ہے اور اس کے کھانے سے اپ کی جو کیلوریز ہیں وہ بڑھ جاتی ہیں جس کی وجہ سے بچوں کو بھوک نہیں لگتی لہذا یہ نہیں کھانے چاہیے اور لیس سے اجتناب کیا جائے تو بہتر ہے اپنے بچوں کو بچائیں اس لیے سے اور ان کے سارے فلیورز ہوتے ہیں اس میں مختلف سے ایسٹ ہوتے ہیں جس کی وجہ سے وہ کھا کے بچے بیماری متعین بیماریوں میں ڈسکس پیدا ہوتی ہیں اور وہ بیماریوں میں مبتلا ہو جاتے ہیں اس لئے اس کے بہت سارے نقصانات بھی ہیں ہمارے معاشرے میں اس کے بہت نقصانات ہیں,15,5,"[3, 5, 7, 12, 17, 21, 22, 24, 27, 35, 35, 38, 38, 41, 44]","[6, 9, 11, 25, 31]",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
37.23,9.wav,السلام علیکم اج لیس کی فائدے اپ کو میں بتانے جا رہا ہوں بیسیکلی لیز پورے ورلڈ وائڈ میں یوز ہونے والا ایک ایسا اسنیک ہے جو سب یوز کرتے ہیں بیسیکلی لیز میں اپ کو یہ جسٹ ایک ریفریشمنٹ کے ذریعہ ہے جو اپ کو ریفریشمنٹ بھیج دیتا ہے پلیز بیسیکلی ہم جب بھی کھاتے ہیں ہمیں ملتی ہے ایک تازگی سے ملتی ہے اسی طرح ہمارے پاس 90 میں پوٹاشیم مل جاتا ہے سوڈیم مل جاتا ہے وٹامن سی کبھی وہ ملتا ہے یہ لسٹ میں ایک ہمیں فائدہ مل جاتا ہے جو ہماری ہیلتھ کے لیے بہت اچھا ہے بیسیکلی یہ کوئی,1,5,[19],"[14, 17, 22, 32, 36]",1,[0],"[0, 0, 1, 0, 0]"
23.4,10.wav,ہیلو دوستو اج میں اپ کو بتاؤں گا لسٹ کے بارے میں لیس کے ڈیفنس لیبرز ہیں مختلف فلیورز اس کے یوز ہوتے ہیں پورے وائس میں اور دوسرا یہ کہ یہ بہت اچھی چیز ہے اس سے انرجی لیول بوسٹ ہوتا ہے اور اس کو زیادہ تر کول ڈریکس وغیرہ کے ساتھ سرو کیا جاتا ہے اور بچوں کا بہت ہی پسندیدہ فلیورز ہوتے ہیں,2,7,"[12, 17]","[6, 12, 14, 14, 15, 19, 22]",1,"[0, 0]","[0, 1, 1, 1, 0, 0]"
37.23,11.wav,اپ کو بتاؤں گا لیس کے بارے میں لیس بہت اچھے پروڈکٹ ہے اور اسنیکس ہیں اس لئے بچے یوز کرتے ہیں اس کو اور اس کے ڈفرنٹ فلیورز ہیں اور سب سے زیادہ فلیور یوز ہونے والا جو ہے وہ مصالحہ اور چیز ہے اور یہ زیادہ تر کولڈ ڈرنک کے ساتھ سرو کیا جاتا ہے اور بچوں کا بہت ہی پسندیدہ ہوتا ہے اس کے بہت سارے فائدے یہ ہیں کہ اس سے انرجی لیول بوسٹ ہوتا ہے اور یہ ذرا بھی وہ نہیں ہوتا مسٹر وغیرہ اس میں نہیں ہوتا کسی طریقے سے ایجنٹ نہیں ہوتے,6,6,"[13, 17, 18, 32, 35, 37]","[4, 20, 24, 29, 29, 29]",2,"[0, 0, 2, 0, 0, 0]","[0, 1, 0, 0]"
30.03,12.wav,السلام علیکم اج میں اپ کو لیس کے نقصانات بتانے جا رہا ہوں بیسیکلی لیس کھانے سے انسان کو دل کی بیماریاں ہوتی ہیں انسان کو فوڈ کے جواب کہتے ہیں اپ کو بلڈ کینسر ہوتا ہے ہائی بلڈ پریشر ہو جاتا ہے اس کے علاوہ اپ کو لیز کھانے سے جو اپ کا ویٹ ہوتا ہے وہ بھڑک بھی جاتا ہے بیڈ بنتا ہے فیٹ مطلب اپ کو کہیں بیماری ہو سکتی ہے لائک کینسر ہار ڈیسیز یعنی دل کی بیماریاں,7,3,"[3, 8, 13, 26, 28, 29, 30]","[7, 22, 29]",2,"[0, 0, 0, 0, 0, 0, 0]","[1, 0, 0]"
21.41,13.wav,جب بھی میں لیٹ کھاتا ہوں مجھے ایک خوشنما محسوس ہوتا ہے ان کے فلیور اتنے تیز ہیں مزے دار ہوتے ہیں کہ بس ایک پیکٹ میں دل بھر جاتا ہے میرا دل لیز نے میرا دل جیت لیا ہے,2,6,"[9, 14]","[5, 15, 16, 18, 20, 20]",1,"[0, 0]","[0, 1, 0, 0, 0]"
23.15,14.wav,دنیا بھر میں پیپسی کے خرید و فروخت بہت زیادہ تھی لیکن اب یہ خرید و فروخت میں ہمیں ایک ڈاؤن فل نظر اتا ہے نہ صرف اسلامک کنٹریز میں بلکہ یورپین کنٹریز نے بھی اس کارڈ کرنا شروع کر دیا ہے اور اس کی وجہ سے ایک ہی ہے کہ یہ پروڈکٹ ہے اور اسرائیلی پروڈکٹس یورپین کنٹریز اور جو جو,5,1,"[4, 4, 8, 10, 10]",[1],2,"[0, 0, 0]",[0]
16.35,15.wav,دنیا بھر میں پیپسی کے خرید و فروخت بہت زیادہ تھی لیکن اب اس خرید و فروخت میں ہم ایک کمی نظر اتی ہے نہ صرف اسلامی ممالک میں بلکہ یورپین کنٹریز نے بھی اس کا ورکر کرنا شروع کر دیا ہے اور اس کی وجہ سے صرف ایک ہی ہے کہ یہ ایک ازادی پروجیکٹ ہے اور جتنے بھی ہیں ان کو,7,1,"[3, 3, 5, 5, 6, 7, 12]",[1],2,"[0, 0, 0, 0, 0]",[0]
18.65,16.wav,دنیا بھر میں پیپسی کی خرید و فروخت بہت زیادہ تھی لیکن اب اس خرید و فروخت میں ہمیں کمی نظر اتی ہے نہ صرف اسلامی ممالک میں بلکہ یورپین کنٹری نے بھی اس کا بائیکاٹ شروع کر دیا ہے اور اس بائیکاٹ کی وجہ صرف ایک ہی ہے کہ یہ کہ اسرائیلی پروڈکٹ ہے اور اسرائیل جو کچھ ظلم و ستم فلسطین,9,1,"[3, 4, 6, 7, 7, 11, 13, 14, 18]",[1],2,"[0, 0, 0, 0, 0, 0, 0, 0]",[0]
26.82,17.wav,لیس کی فلیور اور کرنچ مجھے ہمیشہ ایکسائٹڈ کرتے ہیں ہر پیکج ایک نئی دنیا کا اغاز کرتی ہے لیز بہت اچھے ہیں,0,3,[],"[6, 9, 26]",1,[],"[0, 0, 0]"
19.24,18.wav,لینز پھر بھی سی ہوتا ہے جب بندہ بھوک بندے کو بھوک لگتا ہے پھر بھی صحیح ہوتا ہے لیکن جب وہ بندے کو بھوک نہیں لگتا ہے تو پھر نارمل سا ہی رہتا ہے نہ بندے کا من چاہتا ہے کہ کھاؤ نہ مرنے کا من چاہتا ہے کہ نہ کھاؤ مطلب بندہ نیوٹرل ہی نیوٹرل رہتا,5,1,"[7, 9, 12, 15, 17]",[6],0,"[0, 0, 0, 0, 0]",[0]
27.37,19.wav,یار لسٹ جو ہے نہ وہ مجھے ابھی اچھا نہیں لگتا ہے کیونکہ میرے لئے میں جو جب بندہ کھا لیتا ہے مجھے تم معدے میں جلن بہت زیادہ ہوتی ہے تو اس وجہ سے مجھے یاد لیس بالکل پسند ہی نہیں ہے تو میں اپ کو بھی یہ مشورہ دوں گا کہ لیس کا یوز جو ہے وہ ختم کریں اور اپنے گھر میں جو ہے فرائض خود پکا کے جایا کریں تو اس سے یہ ہوگا کہ اپ کے مہینے میں جلن نہیں ہوگا,9,2,"[2, 3, 9, 9, 12, 13, 19, 27, 27]","[3, 13]",2,"[0, 0, 0, 0, 0, 0, 0]","[0, 0]"
27.37,20.wav,جو ہوتے ہے نہ وہ بہت زیادہ مزہ اتا ہے جب بندے کو بھوک لگا ہو اور لیٹ نائٹ ہو اور بندہ لے اس کو جو ہے وہ کرے اور ساتھ ساتھ میں پھر پیپسی بھی ہو پھر تو اور مزہ اتا ہے واہ کیا بات ہے کاش ان شاء اللہ میں اج جو ہے ٹرائی کروں گا کہ لائٹ نائٹ اگر میں جاگا رہا تو میں لیس کو ضرور ٹرائی کروں گا اور اپ لوگوں کو بھی سجیسٹ کروں گا کہ اپ بھی لائف جو ہے وہ,2,7,"[1, 2]","[2, 13, 14, 15, 17, 22, 25]",1,"[0, 0]","[0, 0, 1, 1, 0, 0, 0]"
56.28,21.wav,السلام علیکم میرا نام محمد سلیمان ہے اور اج میں اپ لوگوں کو لیس کے بارے میں کچھ باتیں بتانے والا ہوں لسٹ جو برینڈ ہے بالکل بھی نہیں گانا چاہیے بہت ہی گھٹیا ٹیسٹ ہو چکا ہے اج کل ڈریس کا اور سننے میں ارہا ہے کہ جو ڈس فیکٹری میں یہ بنتا ہے وہاں پر اس میں سور کی چربی میں لاتے ہیں اور جس سے ہم مسلمانوں کو جو ہے وہ لانے کی کوشش کی جارہی ہے اور اگر ٹیسٹ کی بات کریں تو بہت ہی گھٹیا ٹیسٹ ہے بالکل بھی نہیں گانا چاہیے اور اسماعیل اس سے سور کی سور کی اس میں اجاتی ہے بالکل صاف جو ہے اس سے پتہ چل جاتا ہے کہ نہیں کرنا چاہیے دوسری بات یہ ہے کہ کھانے کے بعد نہ وہ مہینے میں جلن سے ہو جاتی ہے اور منہ میں گندا سا ٹیسٹ پایا جاتا ہے لیس کھانے کے بعد تمہیں یہی سجیسٹ کرتا ہوں کہ اپ بچوں سے بھی یہ جو ہے اس کو دور رکھے اور خود بھی اوائڈ کریں اور بالکل بھی نہ پائے,18,2,"[8, 9, 16, 19, 19, 22, 29, 30, 32, 33, 34, 38, 41, 43, 45, 54, 55, 56]","[35, 49]",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0]"
34.7,22.wav,السلام علیکم میرا نام محمد سلیمان ہے اور اج میں اپ لوگوں کو لیس کے بارے میں بتاؤں گا لیز جو ہے بہت ہی اچھا برانڈ ہے اور مجھے جب بھی بھوک لگی چاہے وہ دن ہو رات ہو سردی ہو گرمی ہو میں لیز لیز ہی کھاتا ہوں اور اس کے گانے کا کوئی الگ ہی مزہ ہے اس کا ٹیسٹ بہت ہی اچھا ہے بہت ہی زبردست ٹیسٹ ہے اور خاص طور پر لیس کے ساتھ پیپسی ہو تو پھر کیا ہی بات ہے مطلب ختم ہو جاتی ہے ساری چیزیں نہ لیس کے بعد پھر کچھ بھی نہیں تو,5,3,"[14, 23, 30, 32, 34]","[9, 20, 22]",1,"[0, 0, 0, 9, 0]","[0, 0, 0]"
44.76,23.wav,السلام علیکم میرا نام محمد سلیمان ہے اور اج میں اپ لوگوں کو لیس کے بارے میں بتاؤں گا لیس جو ہے کسی کو پسند ہے کسی کو نہیں پسند کوئی کالج ہے کوئی نہیں کھاتا میں پرسنلی کبھی جو میرا دل کرے تو میں کھا لیتا ہوں ہفتے میں 10 دن میں ایک بار جب میرا دل نہیں کرتا تو میں بالکل بھی ورڈ کرتا ہوں اور کافی لوگ جو لے اس کو پسند کرتے ہیں بٹ میں پرسنلی لیٹس کو اتنا خاص پسند نہیں کرتا اور ٹیسٹ بھی اچھا ہے کمی کے بعد اچھا ہو جاتا ہے کبھی ان کا ٹیسٹ جو ہے وہ تھوڑا سا تبدیل ہو کے عجیب سائٹس انے کو ملتا ہے لیکن اوور ال لسٹ ٹھیک ہے اگر اپ کو چلیں گے تو اپ کھائے گا تو اپ نہ کریں,9,10,"[10, 12, 19, 21, 28, 31, 37, 39, 44]","[8, 10, 14, 19, 23, 25, 28, 30, 32, 40]",0,"[2, 2, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 9, 0, 0, 0]"
39.86,24.wav,اج میں اپ کو لیز کی بری چیزوں کے بارے میں بتاؤں گی لسٹ کی جو الو کا استعمال ہوا جاتا ہے ان کی کوالیٹی بہت بری ہوتی ہے وہ تو ہی نہیں چاہتے پلیز بنانے سے پہلے اور اس لیے اپ کے لئے کبھی کبھی جلے ہوتے ہیں اور جب وہ لیز بنا رہے ہوتے ہیں ہمیں تو پتہ بھی نہیں ہے کہ شاید وہ اپنا ہاتھ ہی نہ دھوئیں پلیز بنانے سے پہلے نینس کے اندر بہت زیادہ مصالحہ اور نمک ہوتا ہے اس لیے اپ کے معدے میں اس سے بہت زیادہ درد ہوتی ہے تو میں اپ کو کہوں گی کہ لیز نہ کھایا کریں ورنہ اپ کو بہت زیادہ بیماریوں کا سامنا کرنا پڑے گا اللہ حافظ,13,1,"[2, 9, 11, 15, 20, 23, 23, 26, 31, 31, 35, 37, 38]",[7],2,"[0, 0, 2, 0, 0, 0, 0, 0, 9, 0, 0]",[0]
22.97,25.wav,بہت مشہور پاکستان میں اور ڈفرنٹ کنٹریز میں کھائے جاتے ہیں لیکن میں اس کے بارے میں یہ کہنا چاہوں گی جو جب یہ اسٹیبلش ہوا تھا 1960 میں تب سے اب تک اس میں بہت زیادہ چینج اچکا ہے وہ فلیور وہ کیسے کہ گورنمنٹ چینج ہوئی ہے,2,2,"[6, 17]","[1, 12]",0,"[0, 0]","[0, 1]"
30.43,26.wav,السلام علیکم ناظرین اج میں اپ کو لیز کی اچھی چیزوں کے بارے میں بتاؤں گی لیز دنیا بھر میں بہت پسند کیے جاتے ہیں اور لیز کے پیکٹ کے اندر ایک خاص قسم کی ہوا ہوتی ہے جو اپ کے لئے اس کو تازہ اور خستہ رکھتی ہے میرے گھر میں مصالحہ میں بہت پسند کیے جاتے ہیں اور اپ کو کون سا فلیور اچھا لگتا ہے پلیز مجھے بتائیے اور اللہ حافظ,1,8,[12],"[4, 8, 9, 14, 15, 19, 23, 27]",1,[0],"[0, 0, 0, 1, 1, 0, 9, 0]"
34.59,27.wav,السلام علیکم ناظرین اج میں اپ کو بتاؤں گی میز کے بارے میں کچھ لوگوں کو دنیا میں لیز اچھے لگتے ہیں کچھ لوگوں کو نہیں لگتے میرے خیال میں لئے صرف ٹھیک ہے بہت زیادہ لہسن کھانی چاہیے اور بہت تھوڑے بھی نہیں کھانے چاہیے مہینے میں ایک بار ٹھیک ہوئے گا اگر اپ کو دل کرے کہ اپ کو اپنا منہ کا ٹیسٹ تبدیل کرنا ہے تو اپ کھا سکتے ہیں لیکن بہت زیادہ بھی نہیں کھانے چاہیے روزانہ اپ بالکل بھی نہ کھائیں ایک اللہ حافظ,9,4,"[10, 12, 14, 17, 29, 30, 30, 32, 33]","[8, 13, 20, 22]",0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]"
42.26,28.wav,السلام علیکم میرا نام حریم ہے اور اج میں اپ کو لیز کی اچھی چیزیں بتاؤں گی ہمارے گھر میں میز بہت پسند کیے جاتے ہیں لیکن اور یہ 100% خالص الوں سے بنے ہوتے ہیں یہ 100 فیصد حلال ہوتے ہیں میں جب ہی لسٹ کھاتی ہوں مجھے بہت مزہ اتا ہے ان کا ذائقہ بہترین ہے اور یہ ہمیں بہت اچھی لگتے ہیں ہمارے اسکول میں لیز بہت مشہور ہیں ان کی پیکنگ بھی بہت خوبصورت ہے یہ سب سے مزیدار اور زبردست ہے لیز خستہ بھی ہے اور سستا بھی ہے اللہ حافظ,3,10,"[12, 15, 37]","[6, 10, 22, 25, 28, 31, 34, 37, 39, 40]",1,"[0, 2, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
34.86,29.wav,السلام علیکم میرا نام حریم ہے اور اج میں اپ کو لیز کی پوری چیزوں کا بتاؤں گی ہمارے گھر میں پہلے ہم سب لیز کھاتے تھے لیکن پچھلے سال سے لیز میں پہلی والی بات نہیں رہی لیز اب بہت عام سا برانڈ بن گیا ہے ان کی خوشبو اور ذائقہ برا ہوتا جا رہا ہے ان کی پیکنگ بھی گندی ہوتی ہے اور یہ بے ذائقے ہونے لگتے ہیں ان کے اندر نمک اور مصالوں کی وجہ سے صحت کو نقصان ہو سکتا ہے اللہ حافظ,8,0,"[9, 11, 15, 17, 20, 21, 25, 33]",[],2,"[0, 0, 0, 0, 0, 0, 0, 0]",[]
21.66,30.wav,السلام علیکم میرا نام حریم زینب ہے اور میرے خیال میں لیٹس ٹھیک ہی ہوتے ہیں کبھی کبھی اپ کو اچھے لگتے ہیں اور کبھی تم بالکل کی باتیں اور بری لیز اپنی اچھی چیزوں کو بے قرار نہیں رکھ سکتا اسی لئے کچھ لوگ اس کو پسند کرتے ہیں اور کچھ ناپسند اللہ حافظ,4,4,"[11, 12, 15, 21]","[5, 8, 13, 19]",0,"[0, 0, 0, 0]","[0, 0, 0, 0]"
21.4,31.wav,اچھا پروڈکٹ ہے تو میسج کروں گا اور یہ کہ اگر اپ نے اس کو اگر پروموٹ کرنے چاہیں تو اس کو ضرور پروموٹ کریں کیونکہ اس کے ذریعے لوگوں کو ہم اور,1,3,[21],"[1, 11, 16]",1,[0],"[0, 0, 0]"
31.061,32.wav,کافی حد تک گیم ہے میں نے بہت بڑا ہے جب بھی خیر بہت اچھا لگا ماشاء اللہ دیکھنے کو کمپنی کے بارے میں,1,2,[3],"[1, 19]",1,[0],"[0, 0]"
26.06,33.wav,یہ لے کے ایک مشہور پروڈکٹ ہے اور اج کل لوگ مہنگائی کی وجہ سے نہیں لے رہے زیادہ تر افورڈ نہیں کر سکتے 20 ملتے ہیں اور کہاں لے گئی 100 200 کا پہنچا دیا اور اس میں پاپڑ بھی کم ہوتے ہیں جو کہ یہ صحت مند پروڈکٹ نہیں ہے تو اب میں اس کو کرنا چاہتا ہوں تو کرنا چاہتا ہوں کہ زیادہ بچوں کو نہ دیں شکریہ,8,2,"[4, 6, 7, 8, 15, 19, 24, 25]","[2, 26]",2,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0]"
21.21,34.wav,جیسا کہ اپ جانتے ہیں بچپن سے پاکستانی ہوتا ہے لیکن یہ چیز زیادہ بچوں کو ہمیں نہیں دینی چاہیے اس کے اندر کوئی ہمیں پروٹین کوئی اس طرح کی چیز ہمیں نہیں ملتی لیکن پھر بھی یہ بچے وغیرہ شوق سے کھاتے ہیں ہمیں جتنا ہو سکے ان جیسے پروڈکٹس کو بچوں سے دور رکھنا چاہیے اور بالکل ان کو نہیں دینا چاہیے بالکل اچھے نہیں ہیں اس لیے اپ بالکل اس کو اس طرح سے,12,3,"[3, 4, 4, 5, 9, 9, 10, 16, 17, 18, 18, 20]","[11, 14, 18]",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1]"
28.69,35.wav,بہت اچھے لگے میں تو بہت لائک کرتا ہوں کھاتا ہوں اور اس میں اور بہت ساری کوالٹیز ہیں اس کے ساتھ لیبر ہیں تو اپ ہی ٹرائی کریں تاکہ بہت اچھی ہے اور میرے سے بہت لائٹ کرتا ہوں تو اپ انشاء اللہ اپ بھی بہت اچھے لگے گا اپ کے ساتھ کھا کے دیکھیں اور اس سے بہت سارے فلیٹ بنے اور بہت چیز ہے,2,4,"[27, 28]","[1, 12, 14, 21]",1,"[0, 0]","[0, 1, 0, 1]"
15.88,36.wav,یہ چلی فلیور ہے اس کے زیادہ تر چیز پلیر اچھا لگتا ہے میں اپ لوگوں کو بھی سجیسٹ کروں گا کہ اس کے اور بھی فلیور ٹرائی کریں اچھی چیز ہے اس کو اپ اور بھی دیگر چیزوں میں یوز کر سکتے ہیں مثلا چارٹ اور چیزوں میں بھی یوز کر سکتے ہیں تھینک یو,3,4,"[2, 3, 9]","[3, 5, 8, 9]",1,"[0, 0, 0]","[0, 0, 0, 0]"
29.64,37.wav,میں کھا رہا ہوں اس کا بہت اچھا فلیور بھی ہے ٹھیک ہے اس کو اور بھی میں فلیور کھاتا ہوں مگر یہ مجھے بہت اچھا لگتا ہے اور میں اسے بہت پسند کرتا ہوں یہ بہت اچھی چپس ہے الو کی بنتی ہے الو ملتے بھی لے کے لے کے جاتا ہے بھائی لے کے جاتے ہیں اور یہ ماشااللہ بہت اچھی چیز ہے میں اسے بہت جو ہے نہ دل سے کھاتا ہوں میرے بچے بھی کھاتے ہیں میری وائف بھی کھاتی ہے اور ہم الحمدللہ بہت پیئے شوق سے کھاتے ہیں ویلکم اپ کی مہربانی,3,10,"[19, 21, 26]","[2, 4, 8, 10, 11, 19, 22, 24, 27, 28]",1,"[0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
42.26,38.wav,السلام علیکم میرا نام حریم ہے اور اج میں اپ کو لیز کی اچھی چیزیں بتاؤں گی ہمارے گھر میں میز بہت پسند کیے جاتے ہیں لیکن اور یہ 100% خالص الوں سے بنے ہوتے ہیں یہ 100 فیصد حلال ہوتے ہیں میں جب ہی لسٹ کھاتی ہوں مجھے بہت مزہ اتا ہے ان کا ذائقہ بہترین ہے اور یہ ہمیں بہت اچھی لگتے ہیں ہمارے اسکول میں لیز بہت مشہور ہیں ان کی پیکنگ بھی بہت خوبصورت ہے یہ سب سے مزیدار اور زبردست ہے لیز خستہ بھی ہے اور سستا بھی ہے اللہ حافظ,3,10,"[12, 15, 37]","[6, 10, 22, 25, 28, 31, 34, 37, 39, 40]",1,"[0, 2, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
