Length,audio_name,Transcript,negative_count,positive_count,negative_positions,positive_positions,Senti,Negative_Frame_Sentiments,Positive_Frame_Sentiments
20.33,75.wav,اب میں اپ کو اس کے منفی رجحانات کے بارے میں بتانا چاہوں گا کہ سیون اپ جو ہے یہ بہت زیادہ اسٹرانگ ہے یہ بہت زیادہ اسٹرونگ ہے اور اس کو پینے کا نقصان زیادہ پینے کا نقصان یہ ہوتا ہے کہ اپ کی جو بونز ہیں اپ کی ان میں کیلشیم کی جو بنانے کی جو ہوتی ہے,6,0,"[2, 7, 9, 12, 12, 13]",[],2,"[0, 0, 0, 0, 0]",[]
26.94,76.wav,السلام علیکم میرا نام جنید عابد ہے میں اپ کو سیون اپ کے بارے میں بتانا چاہتا ہوں سیون اپ ایک بہت اچھا مشروب ہے یہ جو ہے بہت پسند کیا جاتا ہے میں خود بہت شوق سے اس کو پتا ہوں اور میں اکثر کو کھانے کے بعد پیتا ہوں اس کو پینے کا یہ فائدہ ہے کہ اپ کی جو کھانے کے بعد اپ کو جو بھاری پن محسوس ہوتا ہے وہ اپ کا یہ ختم کر دیتی ہے,2,4,"[23, 26]","[8, 10, 12, 19]",1,"[0, 9]","[0, 0, 0, 1]"
28.25,77.wav,السلام علیکم میرا نام جنید احمد ہے اج میں اپ کو لیس کے لیس کے بارے میں اچھی بات بتانا چاہوں گا لیز ایک بہت بڑا فرینڈ ہے اس کے مختلف فلیورز ہیں اور مختلف فلیورز کا اپنا اپنا مذا اور عوام ان کو بہت شوق سے کھاتی ہے میں خود بہت شوق سے کھاتا ہوں اور ان کی ڈیمانڈ میں پہنچ جاتا ہے,0,6,[],"[8, 14, 15, 20, 23, 26]",1,[],"[0, 1, 1, 0, 9, 0]"
28.25,78.wav,السلام علیکم میرا نام جنید احمد ہے اج میں اپ کو لیس کے لیس کے بارے میں اچھی بات بتانا چاہوں گا لیز ایک بہت بڑا فرینڈ ہے اس کے مختلف فلیورز ہیں اور مختلف فلیورز کا اپنا اپنا مذا اور عوام ان کو بہت شوق سے کھاتی ہے میں خود بہت شوق سے کھاتا ہوں اور ان کی ڈیمانڈ میں پہنچ جاتا ہے,0,6,[],"[8, 14, 15, 20, 23, 26]",1,[],"[0, 1, 1, 0, 9, 0]"
24.82,79.wav,لیز مشہور برانڈ ہے اور لوگوں کو بہت پسند ہے اس کے فلیور اور کافی الگ ہیں لیکن مجھے لگتا ہے لگتا ہے کہ کچھ اور نئے فلیور ٹرائی کرنا چاہیے بھائی کرنے کی ضرورت ہے کوئی یونیک سا ہونا چاہیے,1,5,[11],"[1, 5, 9, 18, 23]",1,[0],"[0, 0, 0, 0, 9]"
48.22,80.wav,السلام علیکم میرا نام بلال لکھویرا ہے اور اج کا موضوع خاص ہے پیپسی کی بوتل ہاں ہاں پیپسی کی بوتل تو پیپسی کی بوتل گرمیوں میں پی جائے یا پھر سردیوں میں بھی جائے اس سے کوئی فرق نہیں پڑتا لیکن اگر میں اپ سے کہوں کہ یہ اپ کو پانی سے ہمیشہ ہمیشہ کے لئے دور کر دے گا تو یہ کہنا غلط نہ ہوگا کیونکہ انسان جب ایک چیز کو بار بار کرتا ہے تو اس وہ اس کا عادی ہوجاتا ہے تو لہذا اپ اس چیز سے بچیں اس کا ذائقہ بھی صحیح نہیں ہے اور یہ بہت اس کو پینے کے بعد انسان بہت سی بیماری میں مبتلا ہو جاتا ہے تو لہذا اس چیز سے اپ پرہیزگاری اختیار کریں اور بچیں شکریہ,14,2,"[15, 16, 24, 25, 27, 31, 34, 35, 37, 42, 43, 45, 46, 48]","[37, 48]",2,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0]"
23.82,81.wav,تو اج کا ہمارا انانی خاص ہے لیز ہاں ہاں لیز تو لیز لاہور میں بنتی ہوں یا پھر اسلام اباد میں اس سے کوئی فرق نہیں پڑتا لیکن فرق تو پڑتا ہے جب ان کی قیمتیں اسمان کو چھوئیں تو اج کے زمانے میں لیز کی قیمتوں میں بے حد تک اضافہ ہو چکا ہے یہ جتنی مہنگی ہو گئی ہے کہ غریب کی پہنچ سے باہر ہوتا جا رہا ہے تو یہ بالکل نہیں سہی,7,1,"[8, 9, 16, 18, 20, 23, 24]",[16],2,"[0, 0, 0, 0, 0, 9, 0]",[0]
35.53,82.wav,السلام علیکم میرا نام بلال لکھویرا ہے اور اج کا عنوان خاص ہے پلیز ہاں ہاں لسٹ تو لیس لاہور میں بنتی ہوں اسلام اباد میں بنتی ہوں یا پھر کراچی میں بنتی ہوں اس سے کوئی فرق نہیں پڑتا فرقہ پڑتا ہے جب اپ کو پتہ چلے کہ یہ 100 فیصد حلال الو سے بنتی ہے اور اس کا بنانے کا طریقہ بھی لاجواب ہے اور یہ انتہائی لذیذہ ہوتی ہے تو لہذا اپ بھی اپنے اپنے گھروں سے نکلے اور لیز کھائیں اور اپنی زندگی کو پرجوش بنائیں شکریہ,2,3,"[15, 35]","[25, 27, 36]",1,"[0, 0]","[0, 0, 0]"
39.0,83.wav,اب میں اپ کو بتاؤں گا کہ لیس کے منفی اثرات کیا ہیں پہلے پہلی بات تو یہ ہے کہ انہوں نے اس کی کوالٹی بہت کم کر دی ہے دوسرا انہوں نے اس کی کوالٹی میں بھی کافی زیادہ چینجز کی ہیں اور تو اور انہوں نے جو ہے اس کی پرائس رینج میں جو ہے کافی چینجز کیے ہیں جس کی وجہ سے ان کا ان کی جو مارکیٹ ہے وہ کافی ایفیکٹ ہوئی ہے دوسرا اس کے انسان کی صحت پر بھی کافی منفی اثرات ہیں سب سے پہلا صرف یہ ہے کہ ہم جب ریس کھاتے ہیں تو ہمیں پیور کی بھوک لگتی ہے اور ہمارے جو ریکوائرمنٹ ہے کھانے کی وہ پوری نہیں ہوتی اور ہم بار بار یہ لیس کرتے ہیں اور یہ ہماری صحت کے لیے بہت نقصان دہ ہے,9,4,"[3, 8, 11, 25, 26, 28, 34, 34, 38]","[11, 17, 21, 24]",2,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]"
25.08,84.wav,میرا نام عمیر فاروق ہے اور مجھے خود دیکھ خانہ کاپی پسند ہے اویلیبل بھی ہے پوسٹ اف ایکٹیو بھی ہے ہر جگہ سے مل بھی جاتا ہے ایزیلی اپ اس کو فری ٹائم میں مووی جب بھی اپ ٹریننگز اپ کو رات کو جس میں ہوتی ہیں فرینڈلی اپ کھا سکتے ہیں اور اس کو بھی مارکیٹ میں کمپیوٹر بھی سچ نہیں ہے کیونکہ اس کی کوالٹی پروڈکٹ ہے,1,4,[23],"[4, 5, 10, 18]",1,[9],"[0, 0, 0, 0]"
21.06,85.wav,نیگیٹیو چیز کی یہ ہے کہ اس کے فیورٹس میں فیورٹس بہت کم ہوتے ہیں باقی کنٹریز میں اس کے فیورٹ چلی اور لانچ ہوتے ہیں اور پاکستان میں لانچ ہونے سے کافی دیر لگتی ہے اس کی سیریز کی نیگیٹیو کی جاتی ہے کہ یہ اس کے بیگ میں کرنسی کی کوالٹی بہت زیادہ کم ہوتی ہے اور دن بدن ہم دیکھتے ہیں نئے پیکیجنگ کے ساتھ ساتھ,8,1,"[0, 1, 4, 10, 13, 17, 17, 19]",[10],2,"[0, 0, 0, 0, 0, 0, 0]",[0]
19.99,86.wav,اگر میں اس پرائز کی بری چیزوں کے بارے میں بات کروں تو اس سے کافی زیادہ ڈائبیٹیز کے پیشنٹ بھی بڑھ رہے ہیں اور دوسرا ٹوتھ دے کے کافی نارمل ہے اس کے اندر کیوں کہ شوگر کی مقدار بہت زیادہ ہے اسپریڈ کے اندر اس کے علاوہ یہ کاسٹ اف ایکٹیو نہیں ہے اور اس کے پرائسز کافی زیادہ ہے پاکستان میں جس کی وجہ سے کم بکتی,8,3,"[2, 5, 5, 11, 12, 15, 17, 20]","[5, 9, 17]",2,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]"
21.15,87.wav,میرا نام حذیفہ سعید ہے اور اسپائر کے بارے میں اگر میں بات کروں تو اس کی مجھے سب سے اچھی چیز لگتی ہے وہ ہائیڈریشن اور ڈائجیشن کے لئے بہت اچھے سے کام اتی ہے اور اس کے علاوہ اس کے ٹیسٹ کے بارے میں بات کی جائے تو وہ بھی کافی زیادہ اچھا رہتا ہے اور اس کے علاوہ جس طرح کے کوکا کولا کے اندر اور پیپسی کے اندر فوڈ کلرز کو کافی زیادہ شامل کیا جاتا ہے یہ بات,4,5,"[6, 9, 14, 20]","[5, 8, 14, 14, 19]",1,"[0, 0, 0, 0]","[0, 0, 0, 1]"
30.42,88.wav,پپسی کے بارے میں جو چیز مجھے اچھی لگتی ہے وہ یہ ہے کہ اس کی مقدار جو ہے وہ کافی اچھی ہے اس کی جو پرائس ہے جس کی قیمت ہے وہ اس کی مقدار سے مطلب زیادہ نہیں تو اپ یہ کہ اپ اس کو کسی بھی ٹائم استعمال کر سکتے ہو ٹھیک ہے اگر اپ ادھی رات کو کچھ اسنیک لے رہے ہو تو تب اپ یوز کر سکتے ہو اپ اگر کھانے پے ہو اپ کے فیملی کسی فنکشن پہ ہو تو اپ ایزیلی یہ لے بھی سکتے ہیں اور یہ ہے کہ یہ ایزیلی ہر جگہ اویلیبل ہوتی ہے,3,7,"[2, 11, 12]","[2, 6, 6, 16, 26, 29, 30]",1,"[0, 0, 0]","[0, 0, 0, 0, 1, 0]"
26.19,89.wav,جو چیز پیپسی کے بارے میں مجھے بری لگتی ہے وہ یہ ہے کہ ایک تو باہر کے مالک نے اس کے فلیور جو ہیں جو کافی زیادہ ہیں حالانکہ پاکستان میں اس کی صرف ایک ہی ہے اور ایک ہی فلیور پایا جاتا ہے جس کی وجہ سے ہمیں باقی فلیور کا مزہ چکھنے کا موقع نہیں ملتا اور یہ کے باقی اس میں یہ ہے کہ کافی زیادہ چینی کی مقدار کارگو ہے اس میں کافی ہوتی ہے جو کہ ایک ان ہندی پرسن کے لیے اچھا,6,5,"[1, 2, 8, 10, 17, 21]","[8, 16, 20, 23, 26]",2,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 9, 0]"
24.22,90.wav,لیز نے مجھے ہر بار خیریت میں ڈال دیا ان کی یونیک فلیور اور پرفیکٹ کرنچ مجھے ہر پائٹ میں خوشی دیتے ہیں میرا دل کہتا ہے کلیج سب سے بہترین ہے,0,7,[],"[5, 9, 11, 12, 16, 19, 23]",1,[],"[0, 0, 0, 1, 0, 0, 9]"
19.16,91.wav,میں بہت زیادہ انجوائے کرتا ہوں استاد کو اور اس کے علاوہ اگر میں باقی لوگ کی بات کروں تو ان کے ڈرائیور کے پیشنٹ جو ہوتے ہیں وہ نہیں پی سکتے یہ تو اس وجہ سے وہ چیز بری ہے لیکن اگر میں اپنا نظریہ دوں تو مجھے یہ بہت پسند ہے اور میں جب بھی پارٹیز وغیرہ ہوتی ہیں تو اس چیز کو زیادہ تکلیف,8,2,"[1, 9, 11, 11, 12, 18, 19, 19]","[1, 15]",1,"[0, 0, 0, 0, 0, 0]","[0, 1]"
18.23,92.wav,السلام علیکم میرا نام احمد ہے پیپسی کے بارے میں جو چیز مجھے اچھی لگتی ہے وہ یہ کس کا ذائقہ کافی مختلف ہے اپ کبھی بھی کسی وقت بھی اس کو ٹرائی کر سکتے ہیں اور ال موسٹلی اپ کھانے کے ٹائم پے کسی بھی کھانے سے اپ اس کو انجوائے کر سکتے ہیں محفل کی جان ہے پیپسی کے بارے میں,1,6,[3],"[4, 6, 7, 10, 15, 17]",1,[0],"[0, 0, 0, 0, 1, 0]"
23.73,93.wav,پیپسی جو ہے وہ میں اپنا زاہد ہوں اپنا نظریہ دوں تو یہ ہے کہ مجھے کافی پسند ہے ٹھیک ہے لیکن کچھ لوگ اس میں سے پسند نہیں ہوتی کہ اس میں چینی کی مقدار زیادہ ہوتی ہے کچھ شوگر والے لوگ ہوتے ہیں ٹھیک ہے اسے پسند نہیں کرتے کچھ ایسے لوگ ہوتے ہیں جن کو الگ الگ بیماری ہوتی ہیں وہ یہ چیز پسند نہیں کرتے تو اور,8,7,"[7, 10, 12, 14, 17, 20, 22, 23]","[6, 6, 7, 9, 15, 16, 22]",2,"[0, 0, 0, 0, 0, 0, 0, 9]","[0, 0, 0, 1, 0, 0]"
20.41,94.wav,میرا نام احمد ہے اور پیپسی سے میں کافی مطمئن ہوں میں ہر اسنیپ کے ساتھ اس کو ٹرائی کرتا ہوں اور میری یہ ڈیل لائف میں بہت زیادہ یوز کرتا ہوں بٹ اوائڈ کرتا ہوں زیادہ اوور یوز کیونکہ شوگر کے مریضوں کے لئے زیادہ اچھی نہیں ہے وہی بات کاربوہائیڈریٹس زیادہ ہے جس کی وجہ سے میں اس کا,7,5,"[10, 11, 12, 14, 15, 16, 18]","[3, 3, 6, 8, 16]",2,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]"
26.12,95.wav,میرا نام احمد ہے اور پپی کے بارے میں جو چیز مجھے بری لگتی ہے وہ یہ ہے کہ اس کا زیادہ استعمال صحت کے لئے اچھا نہیں ہے کیونکہ اس میں کاربوہائیڈریٹس کافی زیادہ مقدار میں پائے جاتے ہیں جو انسانی صحت کے لیے خاص کر کے شوگر کے مریضوں کے لئے اچھی نہیں ہے اور اس کے زیادہ فلیور پاکستان میں نہیں انٹروڈیوس نہیں کرایا گیا جس کی وجہ سے استعمال کرنا کافی لوگوں کو بورنگ لگتا ہے,11,5,"[4, 4, 7, 9, 11, 16, 18, 20, 21, 22, 25]","[9, 11, 14, 18, 24]",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0]"
27.62,96.wav,ہاں جی تو پانی پی پی کر اپ اپنی زندگی سے بیزار ہو گئے ہیں تو اس کا علاج ہے نہ ہمارے پاس پیپسی کی بوتل ہاں پیپسی کی بوتل تو اپ سردیوں میں پیئیں یا گرمیوں پئے اس سے کوئی فرق نہیں پڑتا لیکن اپ اس سے پی کر پانی کو ہمیشہ ہمیشہ کے لئے بھول جائیں گے تو لہذا میں اپ کو یہی کہونگا کہ اپ اپنے گھروں سے باہر نکلے اور جا کے پیپسی کی بوتل پیئیں تاکہ اپ اپنی زندگی سے لطف اندوز اور,3,1,"[7, 13, 14]",[6],1,"[0, 0, 0]",[0]
32.96,97.wav,السلام علیکم میرا نام بلال لک پھیرا ہے اور اج کا موضوع خاص ہے سپرائٹ کی بوتل ہاں ہاں سپرائٹ کی بوتل تو سپرائٹ کی بوتل اج کل ہمارے ملک میں بھی بنتی ہے تو میں اپ کو یہی کہوں گا کہ اپ اپنے گھروں سے نکلیں اور جیکی سپرائٹ کی بوتلیں پیئیں اس سے اپ کی زندگی میں اپ اپنی زندگی سے بھی لطف اندوز ہوں گے اور ہمارے ملک کی بھی ترقی ہوگی تو لہذا اپ اپنے ملک کے شانہ بشانہ کھڑے ہو تو سپرائٹ کی بوتلیں پیئیں تو اپ کبھی فائدہ ہوگا ہمارے ملک کا بھی فائدہ ہوگا تھینک یو,0,3,[],"[24, 30, 32]",1,[],"[0, 0, 0]"
35.81,98.wav,السلام علیکم میرا نام بلال لکیر ہے اور اج کا عنوان سپرائٹ کی بوتل تو یار مجھے سمجھ نہیں اتی ہے لوگ پتا نہیں کیوں سرپرائز سپرائٹ کرتے رہتے ہیں میں نے تو پی ہے اور مجھے بالکل نہیں پسند ائی اور بھی طرح طرح کی بوتلیں ہیں وہ کیوں نہیں پیتے یار اس سے اچھا یہ بوتلیں پی پی کے تو بیمار ہو جاتے ہو اور پھر تمہارا خرچہ بھی ہوجاتا ہے تو تم اسکول نہیں ہے چپ کر کے اپنے گھر میں بیٹھو اپنی زندگی اپنی زندگیوں سے لطف اندوز ہو لازمی ہے سپریڈ کی بہتر پینی ہے فرض ہے,8,3,"[7, 8, 13, 14, 18, 22, 27, 33]","[14, 20, 34]",1,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1]"
31.28,99.wav,جیسا کہ میں نے اپ کو پیپسی کے بارے میں بتایا اس کی اچھی چیزوں کے بارے میں بتایا اور بری چیزوں کے بارے میں بتائیں اسی طرح میں اپنا بھی اوپینین یہاں پہ دینا چاہوں گا کہ پیپسی مجھے اوور ال بہت زیادہ اچھی لگتی ہے میں ہر اسنیک کے ساتھ اس کو کنزیوم کرتا ہوں ایون میری فیملی بھی کرتی ہے اور دوسری بات یہ ہے کہ ڈائبیٹیز کے پیشنٹس ہیں وہ اس چیز کو کنزیوم نہیں کر سکتے اور کیوں کہ اس کے اندر شوگر کی مقدار کافی زیادہ ہے لیکن میں اپنی بات کروں تو مجھے اس طرح کا کوئی مسئلہ نہیں ہے تو میں اس کو اچھے سے کنزیوم کر سکتا ہوں,11,8,"[6, 12, 19, 19, 20, 21, 24, 25, 25, 28, 28]","[4, 12, 15, 16, 21, 24, 30, 30]",1,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]"
16.68,100.wav,السلام علیکم میرا نام طلحہ ادریس ہے میں الیکٹریکل انجینئرنگ پاور کا فرسٹ سمسٹر کا اسٹوڈنٹ ہوں اور بات کی جائے 7 اپ کی تو میں مجھے تو سیون بہت زیادہ پسند ہے کیونکہ ہم لوگ اکثر ایڈز دیکھ رہے ہوتے ہیں لیکن یہ بات اپنی جگہ ہے ایڈز میں کہتے ہیں سیون اپ پی او مچھلی چلی جائیں گی لیکن ایسا بالکل بھی نہیں,7,1,"[8, 9, 11, 15, 16, 16, 17]",[8],1,"[0, 0, 0, 0, 0, 0]",[0]
22.17,101.wav,لیز ایک عام اسنیک ہے جس جو مجھے بہت پسند ہیں میرے لئے وہ ایک ایوریج اپشن ہے کچھ فلیور مجھے بہت پسند ہے اور کچھ وہ بہت بورنگ ہے,3,2,"[2, 12, 21]","[7, 17]",0,"[0, 0, 0]","[0, 0]"
31.08,102.wav,میرا نام طلحہ ادریس ہے میں سمسٹر الیکٹرک پاور انجینئرنگ کروں اور بات کی جائے تو اس کی کیا کہتی ہیں پیپسی کے بارے میں پیپسی کی سائیڈ ایفیکٹس دیے ہیں کہ پیپسی کے اندر بہت سی ایسی چیزیں ہیں کہ جو کہ ہمارا امیون سسٹم خراب کر رہی ہیں جس طرح کے ریشو اجکل بڑھتی جا رہی ہے ڈاکٹرز پر ایسی چیزوں کو جس کے اندر کاربن ہائیڈریٹس اور کیوں کہ انسان کی باڈی کے اندر ویسے بھی تو یہ سب چیزیں ہیں لیکن ایک مقدار,2,0,"[17, 30]",[],2,"[0, 0]",[]
37.0,103.wav,اتلاف پیپسی کو ہم ناورا کہہ سکتے ہیں نہ اچھا کہہ سکتے ہیں کیونکہ اگر ایک کمپنی یا ایک مینوفیکچر کمپنی جس کی اتنی پاپولیرٹی ہو چکی ہے وہ اپنے پروڈکٹ سیل کر رہی ہے اس کے پیچھے کوئی نہ کوئی وجہ تو ہوگی اس لیے موسٹ اف دا ام اگر صرف اس کی پروڈکٹ کو دیکھیں وہ سیل تو کر رہی ہے لیکن جو اگے خریدنے والے ہیں وہ اسی بھی زیادہ اجکل بڑھ رہی ہے اس کے مطابق ایسا لگ تو نہیں رہا کہ پیپسی نقصان دہ ہوگی یا کولڈ ڈرنک اس طرح جو بھی کاروائی ایڈریس اینی تھنگ نہ یہ نقصان دہ ہوگی بٹ جو بھی ہے,11,1,"[1, 3, 13, 13, 17, 22, 25, 28, 30, 34, 35]",[3],0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[0]
32.02,104.wav,بھی ہے کیونکہ ہر کولڈ ڈرنک جو بھی ہو جائے بیشک وہ پیپسی ہو کوکوکولا ہو یا سیون اپ ہو بات تو ایک ہی ہے لیکن اج کل جو یوتھ ہے وہ اس کو بہت زیادہ یوز کر رہی ہے حالانکہ اولڈ لوگ اولڈ مطلب جو اوور ایج ہو جاتے ہیں وہ لوگ کہتے ہیں کہ جی اپ لوگوں کو اگر چھینکیں یا ہچکی وغیرہ لگ گئی ہے حالانکہ ایسا بالکل کچھ نہیں ہے اس سے بہتر باقی بہت ساری چیزیں ہیں اصل چیز تو یہی ہے کہ ہم اپنے اپ کو نقصان پہنچا رہے ہیں کیونکہ اس کے اندر جس طرح کی چیزیں ہوتی ہیں وہ انسان کی باڈی کے لئے امیون سسٹم کے لئے بہتر نہیں,8,2,"[7, 10, 19, 20, 23, 24, 25, 32]","[21, 32]",0,"[0, 0, 0, 0, 0, 9, 0, 0]","[0, 0]"
37.48,105.wav,جیسا کہ دیکھا جائے کہ سیون اپ کی بہت سے پوزیٹیو اور نیگیٹیو دونوں انفیکس ہیں مطلب کے نقصان بھی یا فائدے بھی ہیں لیکن اج کل کی ریشیو کے مطابق جس طرح مطلب ہر جگہ اور ہر ایونٹ ہر چیز کو دیکھنے کے باوجود مطلب ہر بندہ بیت ہو رہا ہے ایسا نہیں ہے کہ کسی نے چھوڑ دی ہو ایک کمپنی اگر پروڈکٹ بنا رہی ہے سیل پرچیز کرنے والی اس سے زیادہ ہے سو مطلب دیکھا جائے تو ہر کوئی خرید رہا ہے پیر ہے لیکن اس کا نقصان دینی ہے میں بھی ایزا مطلب مایس ہے جو ہے میں اس کو کہتا کہ یہ بینیفٹ ہے مطلب ہمارے لئے یہ اچھی ہے مطلب ہم لوگ ڈیزرٹس وغیرہ یا پھر فاسٹ فوڈ کے بغیر کے ساتھ یہ پی سکتے ہیں,9,3,"[4, 5, 7, 12, 15, 21, 25, 26, 33]","[3, 31, 32]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]"
33.0,106.wav,السلام علیکم ائی ورسز سیون اپ کا ریویو کیا جا رہا ہے سیون اپ کے کچھ پازیٹیو ہیں اسپیکٹ سے کچھ نیگیٹیو ہے سیون اپ کے پوزیٹو اسپیکٹ تھری کے یہ اپ کی ڈائجسٹر میں سم ٹائم ہیلپ کرتی ہے کیونکہ اس میں کچھ ایسی چیزیں ہوتی ہیں اپ اس میں اپ نے سنا ہوگا کہ کافی لوگوں کو کہتے ہیں اپ کو کوئی پرابلم ہو تو اس سے زیادہ اس سے زیادہ پیئیں گے تو وہ اپ کے اندر رجسٹریشن کو خراب کرے گی اس لیے اپ کو اعتدال میں رہ کر اگر اپ اپنی پینی بھی ہے تو پلیز,6,3,"[7, 21, 23, 24, 26, 27]","[12, 19, 29]",0,"[0, 0, 9, 0, 0, 0]","[0, 1, 1]"
13.59,107.wav,کریم کے ایپ اور سیون اپ جیسا کہ اپ جانتے ہیں کہ جب بھی اپ کا کوئی معدے کا مسئلہ ہو یا کوئی پرابلم ہو تو اپ کو لوگ بھی کہتے ہیں یا بڑی لوگ کہتے ہیں کہ سیون اپ کیو میدے کو پرابلم ٹھیک ہو جائے گا اس میں کچھ,3,1,"[5, 6, 12]",[12],1,"[0, 0, 0]",[1]
30.251,108.wav,السلام علیکم اج موسی پیسوں کا ریویو لیا جارہا ہے ٹیکسی ایک ایسا برانڈ ہے جو تقریبا ہر کوئی پیتا ہے اپ کو پتا ہے یہ ایک میجر نیٹ بچی ہے سب کی لیکن پیسے کا ذائقہ بھی ٹھیک ہے اور انسان پی سکتا ہے لیکن اس کا یہ نقصان ہے کہ یہ انسان کے اندر سے جسم کو کھوکھلا کر دیتی ہے اور یہ قسم کا ایسڈ ہے سیکنڈ میں یہ ٹھیک ہے لیکن اس کا اندر جبریل انسان لگتی ہے اس لیے ہمیں یہ ایک بیلنس رہتی ہے,5,4,"[11, 15, 17, 23, 25]","[13, 22, 25, 30]",0,"[0, 0, 0, 9, 0]","[0, 0, 0, 0]"
37.61,109.wav,اپ مجھ سے پیپسی کا ریویو لیا جا رہا ہے پیپسی بہت ہی مضرس ہے رینک کیا ہے ہم کو اس سے اوائڈ کرنا چاہیے پیپسی انسان کے اندر کے نظام کو کھوکھلا کر دیتی ہے یہ قسم کا تیزاب ہی ہے جو ہم پیتے ہیں اس لیے ہمیں چاہیے کہ ہم اس سے اوایڈ کریں اور ایک اور چیز ہے کہ یہ اسرائیلی برانڈ ہے اور اسرائیلی فلسطین میں اسرائیل سپورٹ کا یہ سہیل کو سپورٹ کر رہی ہے فائنینشیل اسپیکٹ ہے اور صحت کے لحاظ سے اس کو کوئی انسان کے اندر تباہی کرتی ہے وہ بھی نیگیٹیو رسپیکٹ ہے اس لیے ہمیں چاہیے کہ ہمیں پروڈکٹ کو بتاؤ,8,3,"[6, 8, 14, 15, 18, 20, 32, 34]","[13, 24, 26]",2,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]"
27.07,110.wav,مولانا مثان عبداللہ اور اج مجھ سے ایک پیچی کا رویو لیے جا رہے ہیں پیپسی ایک ملٹی نیشنل برانڈ ہے اور کیسی اپ دیکھتے ہوں گے الموسٹ ایوری سرمنی ہر جگہ اویلیبل ہوتی ہے کھانے کے ساتھ یہ ایک ایسی چیز بن گئی ہے جو دعوتوں کی موجود ہوتی ہے ہر جگہ ہوتی ہے اور سیکسی کا ذائقہ بھی کافی اچھا ہوتا ہے اس لیے یہ لوگ کھانے کے ساتھ,1,3,[16],"[13, 23, 24]",1,[0],"[0, 0, 9]"
22.72,111.wav,السلام علیکم اج مجھ سے ریلیز کا ریویو لیے جا رہا ہے لیز ایک برینڈ اچھا ہے لیکن ان کی پرائسز کافی ہائی ہے اور اس کے مقابلے میں کوانٹٹی کافی کام لیتے ہیں اگر وائس کوالٹی ان کی اچھی ہے اور ذائقہ بھی ان کا اچھا ہے لیکن اگر یہ اپنی کوانٹٹی اور پرائسز تھوڑی کم کر رہے ہیں اور کی امپروو کر دیں تو یہ بریڈ الو,4,6,"[6, 11, 16, 19]","[5, 7, 10, 13, 15, 21]",1,"[0, 0, 0, 0]","[0, 0, 0, 0, 1, 0]"
