File,Sentence,Senti
41.wav,یار اچھا سونپ جو ہے نا وہ بڑی مزے کی کولڈرنگ کیا ہے کیونکہ اج کل ہر کوئی جو ہے سیون اپ کو جو ہے کھانے کے ساتھ پینا پسند کرتا ہے اور ہماری فیملی والی جب بھی کوئی کڑھائی ہے کوئی اسپیشل چیز بناتا ہے کھانے میں تو سیون اپ 7 میں وہ لینا پسند کرتا ہے کیونکہ سیون اپ کا جو ہے ذائقہ بھی اچھا ہے اور مزہ بھی اتا ہے پینے میں,1
42.wav,یار سیون کی بات کریں تو پینے میں تو مزہ اتا ہے لیکن اس کے نقصانات بھی بہت ہیں تو ہم نے اس کے نقصانات کو مدنظر رکھتے ہوئے اس چیز کو اوائڈ کرنا چاہیے ہمیں اور اس بارے میں ہمیں سیریس ہونا چاہیے کیونکہ اپنی ہیلتھ میں کمپرومائز نہیں کرنا چاہیے سو ڈیٹس وائی ائی ریکمنڈ یو ڈیٹ ڈونٹ یوز تھینک یو,2
43.wav,پیپسی جو ہے نا وہ بہت اچھی چیز ہے جب اپ کھانا کھا لیتے ہو اور اپ کی مہینے میں تھوڑا پشتو کھانا جو ہے تھوڑا بوجھ بن جاتا ہے تو میرے خیال سے پیپسی جو ہے وہ بیسٹ ہے کیونکہ وہ جو ہے اپ کے مہینے میں تھوڑا ڈائجیشن اپ کی معاہدہ جو ہے تھوڑا ہلکا ہوجاتا ہے اس سے تو میں اپ کو پیپسی جو ہے وہ ریکمنڈ کرتا ہوں,1
44.wav,پیپسی جو ہے نا وہ بہت اچھی چیز ہے جب اپ کھانا کھا لیتے ہو اور اپ کی مہینے میں تھوڑا پشتو کھانا جو ہے تھوڑا بوجھ بن جاتا ہے تو میرے خیال سے پیپسی جو ہے وہ بیسٹ ہے کیونکہ وہ جو ہے اپ کے مہینے میں تھوڑا ڈائجیشن اپ کی معاہدہ جو ہے تھوڑا ہلکا ہوجاتا ہے اس سے تو میں اپ کو پیپسی جو ہے وہ ریکمنڈ کرتا ہوں,1
45.wav,السلام علیکم میرا نام مرتضی ہے اور اج میں اپ کو سیون اپ کا ایک ریویو دوں گا سو 7:00 کے لیے تو بہت مزے کی ہوتی ہے میں پیتا ہوں اور سب پیتے ہیں اور ہر جگہ ریڈلی اویلیبل ہے اور یہ چیز بھی ہے سو میں اس کو جو ہے نائن اؤٹ اف 10 ریڈ کر,1
46.wav,میں نے لائک کرتا ہوں یہ میرے پسندیدہ ہے اس لئے یہ ساروں کو لائک کرنی چاہیے اس کے بہت اور بھی پلیر فلیور ہے تو اپ بھی یہ ٹرائی کریں یہ بہت اچھے لے جائیں,1
47.wav,السلام علیکم میرا نام مرتضی ہے اور اج میں پیپسی کا اپ کو ایک ویو دوں سو پیپسی جو ہے بہت مزے کا برانڈ ہے اور میں اس کو بہت اچھا ریٹ کروں گا اور پیپسی جو ہے ہر جگہ اپ کو ملتی ہے اور بہت اچھی بھی ہے تو اپ اس کو ضرور لیجئے گا اور جو ہے بہت اچھا برانڈ ہے اور اگر اپ میرے سے اس کی ریٹنگ مانگی تو میں اس کو 10 اؤٹ اف سوری ایٹ اؤٹ اف 10 ریٹ کرنا چاہتا ہوں,1
48.wav,السلام علیکم میرا نام مرتضی ہے اور اج میں لیس کے بارے میں اپ کو بتاؤں تو لیز ایک چپس برانڈ ہے جو بہت مزے کا ہے ہر جگہ اویلیبل ہوتا ہے اور میں بھی کھاتا ہوں اور سب لوگ کھاتے ہیں اور یہ چیف بھی ہے بہت,1
49.wav,السلام علیکم میرا نام مرتضی ہے اور اج میں اپ کو ایک شارٹ ریویو دوں گا 7 8 کا سیون اپ ایک بہت مزے کی ڈرنک ہے لیکن اس کا ایک ڈس ایڈوانٹیج بھی ہے اس کو جتنا زیادہ کنزیوم کرتے ہیں اور دیر سے ہوں کنزیوم کر رہے ہیں تو یہ اس کا ہماری سیٹ پہ بہت ہارم کو ایفیکٹ ہے سو سے نئی ریٹ کروں گا کہ یہ ہمارے پے ایک فارمولے اس کا ہماری باڈی کے اوپر,2
50.wav,السلام علیکم میرا نام مرتضی ہے اور اج میں سیون اپ کا ایک سالٹ ریویو دوں گا سو ایک بہت مزے کی فضیلت ہے کہ اس کو میں بہت شوق سے کرتا ہوں اور میرے فرینڈز بہت شوق سے پیتے ہیں اور یہ ہر جگہ اپ کو اویلیبل ہوتی ہے اور اس کی پرائس بھی کم ہے اور میں بھی بہت مزے کی,1
51.wav,السلام علیکم میرا نام مرتضی ہے اور اج میں اپ کو سیب نیٹ کا ایک شارٹ ریلیو دوں گا سو سیون اپ ایک بہت مزے کی فضیلت ہے سب ٹھیک ہے میں بھی پیتا ہوں اور یہاں پر ایک مسئلہ اتا ہے کہ ابھی جو ہے نہ جو پیپسی کو ہے انہوں نے اپنی پرائسز بہت انکریز کرنی ہے تو جس کی وجہ سے جو ہے عام ادمی جو ہے اس کو افورڈ نہیں کر سکتا اور جو پرائس ہے وہ زیادہ ہے اور کوانٹیٹی جو ہے وہ بہت کم کرتی ہے مطلب ماڈلز کا سائز چھوٹا کر دیا ہے سو اس لئے سیبنا میں ابھی اگر ریٹنگ تو 600,2
52.wav,السلام علیکم میرا نام مرتضی ہے اور اج میں اپ کو تھوڑا سا شورٹ ریویو دوں گا پیپسی کے پیپسی ایک بہت اچھی کمپنی ہے اور پیپسی ایک بہت اچھی کولر ڈریس جو ہے وہ ہے اور اس کو بہت زیادہ پیتے ہیں لوگ اور بہت ٹیسٹی ہوتی ہے مزے کی ہوتی ہے,1
53.wav,السلام علیکم میرا نام مرتضی ہے اور اج میں اپ کو پیپسی کا ایک شارٹ ریویو دوں گا تو دراصل پیپسی ایک بہت اچھی ایک ہیڈ ڈرنک ہے بٹ ان دی ادر ہینڈ اس کا ایک جو ہے ڈس ایڈوانٹیج دیا پیپسی کو کنزیوم کرنے کا وہ ڈس ایڈوانٹیج یہ ہے کہ پیپسی جو ہے وہ تو پیسج اف ٹائم اپ کے جو جسم ہے اس کو ڈیمج کرتی ہے ایک ایگزیمپل تھی کہ گوشت کا ٹکڑا جو تھا وہ پیپسی میں ڈالا گیا اگلے دن جب دیکھا گیا تو وہ پوری طرح سے خراب ہو چکا ہے پیپسی بہت ہارم فل ہے اپ کے لئے 100 اپ کو پیپسی تو نہیں کرنی چاہیے,2
54.wav,السلام علیکم میرا نام مرتضی ہے اور اج میں لیس کا ایک شارٹ سا ریویو دوں گا تو لیز جو ہے بیسیکلی لے تھے بہت اچھا برانڈ ہے اور ان کی چپسی بہت اچھے ہوتے ہیں بٹ اور تو پیسج اف ٹائم ان کی جو ہے کوانٹیٹی ود دا پرائس اف وتھ پرائز مطلب پرائز ٹو کوانٹیٹی ریشو بہت کم ہو رہا ہے یعنی پرائس بہت زیادہ ہو رہی ہے اور کوانٹیٹی جو ہے وہ بہت لیس ہو رہی ہے تو اس لیے جو ہے لیز جو ہے اس کو میں کہوں گا کہ ابھی کے ٹائم پر جو ہے اس کو میں ایک طرح سے نیوٹرل ریٹ کروں,0
55.wav,وعلیکم میرا نام محمد حسین جہانگیر ہے اور میں اج اس پروڈکٹ ریویو کرنے جا رہا ہوں وہ ہے لسٹ تو لے اکثر لوگ کے بارے میں نہیں ہے کچھ لوگ جو ہیں وہ لیز کو اچھا کنسیڈر ہوئے تھے کچھ نہیں بھی کرتی ہے اکثر اچھا کنسیڈر مطلب پی جانے کے بعد مسئلہ بھی میں کہہ سکتا ہوں کہ لوگ موویز کے دوران دیکھتے ہیں اکثر بات باہر دس نہیں ہو سکتی ہے بہت ساری تھینک یو,0
56.wav,السلام علیکم میری بہن میرا نام حسن جہانگیر ہے اور اج اس کو اٹک ربیع ہے وہ ہے وسیم ہے تو پیپسی کے بارے میں نیگیٹیو ریویوز کی کیسی طور پر پوزیٹیو ہیں کیونکہ لوگوں کا پیپسی اکثر نہیں بھی پیتے کیونکہ یہ خطرناک ہوتی ہے ڈائبیٹیز ایشو لگاتے ہیں اس کے حملے کی بھی ا سکتے ہیں اور لوگ اس کو دو,2
57.wav,السلام علیکم اج ہم لیس کلاسک چپس کے بارے میں بات کریں گے اج ہم اس کی نیچرل تجزیات کے بارے میں گفتگو کرنے جا رہے ہیں چلیے شروع کرتے ہیں لیس کلاسک شپ اسٹیج صفائی سمپل اور یونیک ہے اس کا اس میں اس کے ٹیسٹ میں کچھ خاص انفارمیشن نہیں ہے لیکن اس کے سمپلی سیٹی بھی کچھ لوگوں کو کافی پسند اتی ہے جس کی وجہ سے لوگ کافی اس کو پسند کرتے ہیں اور کھاتے ہیں یہ ایک اپنی سمپلی سیٹی کی وجہ سے ایک بہترین اسنیک اپشن کے طور پر استعمال ہوتا ہے یہ سمپل اور کرپٹ چیف ہے چیپس ہے اس کو لوگ کافی حد تک پسند کرتے ہیں اور اپنی اس کی پیکنگ بھی صحیح ہے اور اس میں فریشنس بھی برقرار رہتی ہے جس کی وجہ سے بہترین اسنیک اپشن ہے,1
58.wav,السلام علیکم ایوری ون میرا نام محمد حسن جہانگیر ہے اور اج اسکالر کا ریویو کرنے جا رہے ہیں وہ ہے 7 9:00 تو 7 کے بارے میں میرا کوئی اتنا فاسٹ ریڈیو نہیں ہے کیونکہ اکثر اوقات لوگ اس کو پسند بھی کرتے ہیں اور کچھ لوگ نہیں بھی پسند کرتے کیونکہ ناپسند کرنے کی وجہ یہ ہے کہ لوگ مطلب اس کا ٹیسٹ نہیں اچھا ہوتا اور یہ مطلب پسند کرنے کے لئے یہ بھی ہوتی ہے کیپسول کبھی کبھار لوگ ہیں تو میں اس کے بارے میں,0
59.wav,السلام علیکم ایوری ون میرا نام محمد سمی جہانی ہے راجس کوارٹر کا ریویو ہے وہ ہے تو سیون اپ کے بارے میں میرا کوئی اتنا اچھا ائیڈیا نہیں میرا ایکس ایکسپیرینس تیرا کیوں کہ سیون اپ جو ہے ٹیسٹ پرائس جو ہے وہ اچھی نہیں ہے اور مطلب یہ بہت سے ان ہجری چیزوں میں ا سکتی ہے اور یہ مطلب باڈی میں بول کے ان مطلب,2
60.wav,السلام علیکم میری بہن میرا نام احمد پریشانی ہے اور اس کوڈر پریویو کرنے جا رہا ہوں تو ویب سی کے بارے میں زیادہ لوگوں کے بارے میں نیگیٹیو ریویوز ہیں مطلب نہیں سمجھا جاتا اچھا اس کو کیوں کہ مارکیٹ میں کیونکہ یہ اکثر شارٹ ویڈیوز میں دیکھا گیا تھا کہ پیپسی جو ہوتی ہے وہ رسٹ اتارنے کے لیے یوز ہوتی ہے اور ایسی مطلب بہت سی خطرناک چیزوں کے لیے پیپسی کا استعمال کیا جاتا ہے اور وہی ہمارے بارے میں,2
61.wav,تو لسٹ کے بارے میں میرا نہیں خیال کہ یہ لوگوں کو کھانا چاہیے کیونکہ اج کل اپ کو دیکھا جائے کیونکہ بہت سی بیماریاں جو ہوتی ہیں وہ لیٹس اپ کا معدہ خراب ہو جائے اپ کی طبیعت وغیرہ,2
62.wav,تو سیون از ا گڈ پروڈکٹ یہ ایک موسٹلی لوگوں سے سنایا تھا یہ چیزوں کو ہضم کرتا ہے مطلب اپ کی مطلب اکثر اوقات کسی کی مطلب طبیعت وغیرہ بھی ہم لوگ پی جاتے ہیں,1
63.wav,السلام علیکم ایوری ون میرا نام محمد سمیت حمیر ہے اور اج اس پروڈکٹ کا ریویو کرنے جارہا ہوں وہ ہے پیپسی تو پیپسی کے بارے میں یہی سنے لوگوں کا یہ بہت ہی بیسٹ کنسیڈر کی جاتی ہے ان مارکیٹ میں اور اکثر کھانے کے اوقات میں زیادہ پیپسی کو کنسیڈر کیے جاتے ہیں کیونکہ اس کا ٹیسٹ ہوتا ہے اینڈ اکثر کار لوگ موویز کے دوران تقسیم وغیرہ,1
64.wav,السلام علیکم میں ہوں سیون اپ کی وجوہات اور روحانی اور چھائیاں بتاؤں گی کچھ لوگ پسند کرتے ہیں اور کچھ لوگ میری پسند کرتے ہیں ان کے ٹیسٹ پر بتائے تھے ان کو کیا پسند ہے اور جانی ہر کسی کو پسند نہیں ہوتی اس کو قبول کرتی ہے تو اس کے پیچھے وجوہات تو نہیں اتے اس وجہ سے نہیں پیتے ہیں نہیں پیتے تو نیوز بھی کریں اپ کی مرضی ہے جس کو پسند ہے وہ,0
65.wav,السلام علیکم میں اپ کو کسی کے پاس سیون اپ کے بارے میں بتاؤں گی مجھے پسند نہیں ہے سیون اپ اور اس کی وجوہات یہ ہے کہ ہر ٹیسٹ بھی پیسہ نہیں رہا جیسے پہلے تھا ملاوٹ کرنے لگے ہیں فیک پروڈکٹس اور کیمیکل والے پروڈکٹس یوز کرنے لگے ہیں بٹ سیون اپ والے اس وجہ سے لوگ اس کی پرائس بھی بہت زیادہ ہوگئی ہے اور اس وجہ سے لوگ جیتے بھی نہیں ہیں تو اور بھی چیزیں ہیں جو اس کو کمپلیٹ کر رہے ہیں پیپسی 7 کو کوکا کولا اور اس کو کمپلیٹ کریں اس کو اگر پروڈکٹ زیادہ ہو سکتے ہیں ریکمنڈ کرتے ہیں,2
66.wav,السلام علیکم میں دیکھو سیون اپ کے بارے میں بتائیں بہت دفعہ میں نے یوز کیا ہے بہت اچھا بولا تھا ہم اس کو استعمال کرتے ہیں ویسے تمہیں خالی نہیں پیتی نہیں کرتی ہے میں نے ہم جب بھی گھر اتے ہیں گھر میں منگاتے ہیں,1
67.wav,السلام علیکم میں اج اپ کو پیپسی کے بارے میں بتاؤں گی تفصیل لوگوں کے لئے فائدے مند بھی ہے اور نقصان نہیں ہے دونوں چیزیں ہوتی ہیں ہر چیز میں فائدہ نہیں کرتی ہے اگر اپ دیکھیں تو جب مجھے بچوں کے لئے نقصان دہ ہے اور بوڑھوں کے لئے بھی ہے مگر ان کئی اس میں کئی طریقوں میں نقصان دینی ہے اگر اپ دیکھیں اس کے فائدے ہم بیان کرتے ہیں کہ جب اپ کھانا زیادہ کھا لیتے ہم چل نہیں ماری ہوتے تو ہر تفصیل ٹھیک ہے ہم اپنا کھانا ڈائجسٹ کر سکتے ہیں اور اس لئے اس کے نقصان یہ ہے کہ جب بچے پیپسی پیتے ہیں تو ان کی ہڈیاں کمزور ہو جاتی ہے جن کی وجہ سے روز نہیں ہوتی ہے اس لئے تفصیل بچوں کا نہیں ہونا چاہیے,2
68.wav,السلام علیکم اج ہم لیز مصالحہ چیف کی تفصیل سے گفتگو کرنے جارہے ہیں اس ویڈیو میں انگریز مسالہ چپس کی تاریخ پر بات کریں گے تو چلیے شروع کرتے ہیں پلیز مثالیں چیپس ایک دم لاجواب ہیں ان کا مصالحے دار اور چٹپٹا ذائقہ ان کو سب سے بہتر بناتا ہے جب اپ ان کو کھاتے ہیں تو ان کا کرسپی ٹیکسچر اور مزے دار ذائقہ اپ کو بے شمار خوشی دیتا ہے لیز مسالہ سے اسنیکس کی ایک اسنیکس کے لئے ایک الہ انتخاب ہے جن کا لفظ اپ اپنے گھر والوں اور دوستوں کے ساتھ لے سکتے ہیں ان کا معیار اور تازگی انہیں اور بھی بہتر بناتے ہیں پلیز مثالہ چپس مزے دار ذائقہ کے ساتھ زندگی کو رنگین مناتے ہیں,1
69.wav,السلام علیکم میں اج اپ کو پیپسی کے بارے میں بتاؤں گی تب سے کی خامیاں میں اپ کو بتاتی ہوں کہ مجھے الگ سے پسند نہیں ہے تو اس وجہ سے تبصرے کی وجہ سے اج کل کے جو جنریشن لائن چھوٹے بچے ہیں ان کو بہت پسند ہے مگر یہ نہیں پتا کہ ان کے لیے فائدے مند نہیں ہے یہ جو لوگ پیتے ہیں ان کی ہڈیاں کمزور ہو جاتی ہے ایسے کیمیکلز ملائے ہوتے ہیں جو اپ کی ہڈیوں کو کمزور بنا لیتا ہے چھوٹے بچوں کو تو بالکل بھی نہیں پینی چاہیے اور تمہارے لئے ہونی چاہیے مجھے نہیں لگتا کہ پیپسی میں پینی چاہیے کیونکہ وہ ہمارے لئے ہماری صحت کے لیے اچھی نہیں ہے,2
70.wav,السلام علیکم میں اج اپ کو پبگ کے بارے میں بتاؤں گی ویب سے اچھی چیز ہے اور اس کو لوگ شوق سے پیتے ہیں شادی وغیرہ اور جب انجوائے کر رہے ہوتے ہیں وہ اپنے دوستوں کے ساتھ تب وہ پیتے ہیں اور اس کے فائدے دھونے کی جب اپ زیادہ کھانا کھا لیتے ہیں تو اپ کو ڈائجسٹ کرنے میں کام اتی ہے اپ کو وائرس کرا دیتی ہے اور ہر طرح,1
71.wav,السلام علیکم میں جب پولیس کے بارے میں بتاؤں گی پلیز اچھے بھی ہوتے ہیں اور برے بھی ہوتے ہیں ہر کسی کے لئے اچھے نہیں ہوتے اور نہ ہر کسی کے لئے برے ہوتے ہیں وہ اپنے مطابق کھاتا ہے تو اس وجہ سے ہر کسی کو پسند نہیں اتے اور نہ کسی کو برا لگتا ہے مطلب کہ ایک دفعہ ہم پہلے ہوئے تھے تو میں تو ان کے دل نہیں مجھے پسند نہیں ہے تو اسی وجہ سے کہ ہر کسی کا ٹیسٹ اور بہت ہی اچھا اس کی نہ کرنے کی وجہ یہ ہوگی کہ وہ پہلے کھاتی ہو گی کھاتی تھی پہلے اور اب اس کو پسند نہیں رہے کیونکہ ہم نے جو پیکیجنگ وغیرہ ہو تو دونوں میں اسٹارٹ کر دیے ہیں اس وجہ سے انہوں نے اس کا دل اٹھ گیا,2
72.wav,السلام علیکم میرا نام افرین صدیق ہے اور میں اج اپ کو لیز کے بارے میں بتاؤں گی میں لیز بہت شوق سے کھاتی ہوں اور مجھے بہت پسند ہے جب بھی ہم یہ گھر والے اور ہم مووی دیکھنے لگ جاتے دیکھنے لگے لگتے ہیں تو ہم ساتھ لیز کا پیکج وغیرہ اور ساتھ لے لیتے ہیں تو ہم بہت انجوائے کرتے ہیں لیز کی خاصیت ہے کہ وہ بالکل حارث المون سے بنا ہوتا ہے اور فیکٹری میں جو بناتے ہیں پیکنگ میں بہت اچھی لگتی ہے تو پلے,1
73.wav,السلام علیکم میں جب کو لیٹ کے بارے میں بتاؤں گی اس کی اور خامیاں بھی ہیں اج اپ کو میں حامیوں کے بارے میں بتاؤں گی پلیز جو پکچر میں بنتے ہیں پہلے جب بنائے جاتے تھے تب بہت اچھی پیکجنگ ہوتی تھی اور ان کے بارے میں ساری وہ چیزیں خالص چیزیں ہیں اور حلال چیزیں استعمال کرتے تھے حلال تو ابھی بھی کرتے ہیں مطلب کہ جس طرح استعمال کریں گے تو وہ ملاوٹ کر دیتے ہیں بیچ میں تو اور ان کا ٹیسٹ اور جو پیکیجنگ ہو رہی ہے اج کل کسی کو بھی کھانے کا دل نہیں کرتا اس وجہ سے ملاوٹ اور دو نمبری کرنا اسٹارٹ کر دیا تو اس وجہ سے اس کی لیزم کھانے کا دل نہیں کرتا ہے,2
74.wav,السلام علیکم اچھا مشروم ہے اس کو مختلف تقریبات میں رکھا جاتا ہے اس کی قیمت بھی مناسب ہے اور اگر اس کو اپ ٹھنڈا کر کے پیئیں تو اس کو پینے کا اور بھی لطیفہ,1
75.wav,اب میں اپ کو اس کے منفی رجحانات کے بارے میں بتانا چاہوں گا کہ سیون اپ جو ہے یہ بہت زیادہ اسٹرانگ ہے یہ بہت زیادہ اسٹرونگ ہے اور اس کو پینے کا نقصان زیادہ پینے کا نقصان یہ ہوتا ہے کہ اپ کی جو بونز ہیں اپ کی ان میں کیلشیم کی جو بنانے کی جو ہوتی ہے,2
76.wav,السلام علیکم میرا نام جنید عابد ہے میں اپ کو سیون اپ کے بارے میں بتانا چاہتا ہوں سیون اپ ایک بہت اچھا مشروب ہے یہ جو ہے بہت پسند کیا جاتا ہے میں خود بہت شوق سے اس کو پتا ہوں اور میں اکثر کو کھانے کے بعد پیتا ہوں اس کو پینے کا یہ فائدہ ہے کہ اپ کی جو کھانے کے بعد اپ کو جو بھاری پن محسوس ہوتا ہے وہ اپ کا یہ ختم کر دیتی ہے,1
77.wav,السلام علیکم میرا نام جنید احمد ہے اج میں اپ کو لیس کے لیس کے بارے میں اچھی بات بتانا چاہوں گا لیز ایک بہت بڑا فرینڈ ہے اس کے مختلف فلیورز ہیں اور مختلف فلیورز کا اپنا اپنا مذا اور عوام ان کو بہت شوق سے کھاتی ہے میں خود بہت شوق سے کھاتا ہوں اور ان کی ڈیمانڈ بھی بہت زیادہ ہے,1
78.wav,السلام علیکم میرا نام جنید احمد ہے اج میں اپ کو لیس کے لیس کے بارے میں اچھی بات بتانا چاہوں گا لیز ایک بہت بڑا فرینڈ ہے اس کے مختلف فلیورز ہیں اور مختلف فلیورز کا اپنا اپنا مذا اور عوام ان کو بہت شوق سے کھاتی ہے میں خود بہت شوق سے کھاتا ہوں اور ان کی ڈیمانڈ بھی بہت زیادہ ہے,1
